0.0,0.1,1.0,2.0,3.0,4.0
563.15,95141.48084135742,506013.13144399127,731840.1363498006,871790.775576133,968930.9516476204
588.15,104055.77249201562,510456.406189059,730036.3029056318,865225.1537178871,958508.5437109923
613.15,111281.69398914863,510673.5884221805,721721.4817884195,849882.8093697174,937541.5095842003
638.15,116521.25559406608,506432.53631394467,707923.8100272163,828687.0250716725,910598.2858676681
663.15,119650.8765198692,496689.60903153144,687881.8271571144,801229.8275936836,877589.0858227665
688.15,120997.17014005242,482679.9429020641,663160.150716932,769174.3166710294,840182.0044758355
713.15,120532.09625724907,463999.9414009762,633483.3375893723,732404.3720488714,798401.4917992207
738.15,118724.39381002424,443011.1758354993,601691.4382965005,693852.5776962496,755150.9056756189
763.15,116004.78799657366,419591.43387739133,567489.3147102012,653112.7569712868,709948.1987494631
788.15,112742.58853171382,395823.1046561274,533247.7670829326,612656.6541790684,665305.9779557933
813.15,109462.12555098391,372295.88543857506,499434.0276012636,572699.1810137561,621192.7659489878
838.15,106471.01046384306,349934.69173465687,467034.7030403027,534234.4298169508,578599.2516539623
873.15,103390.36614482616,323277.2149919881,426934.87922067055,485726.11119667784,524264.6267072199
