0,1,2,3,4
563.15,178573.706131542,259696.89011217,310299.964968156,345445.944869246
588.15,187066.838769813,268808.225496885,319023.027932344,353560.766742849
613.15,195784.597108133,278177.389872548,327976.500319714,361874.494722581
638.15,204168.665756365,287166.35197151,336622.427533726,369988.295508948
663.15,211122.807230128,294337.696634533,343353.731934722,376189.597068664
688.15,217006.780319767,300433.659946235,349070.042265733,381445.149965469
713.15,222393.393879665,306174.878807202,354673.722768809,386820.123255095
738.15,226046.5971409,309783.177800416,358044.243971068,389951.689857701
763.15,227536.240028446,310740.432399891,358543.938997292,390091.05341277
788.15,227683.902544018,309141.400805977,356031.362315038,387023.772864442
813.15,218569.366135957,295725.184036296,340045.550224997,369303.456587596
838.15,203131.474060573,272141.782091121,311775.116372461,337943.790694699
873.15,179173.411672187,237522.480356401,270598.314538137,292264.904083499
