# T_int(K),TSod_metal_u1.0(K),fluxSalt_u1.0(W/(m^2.K)),TSod_metal_u2.0(K),fluxSalt_u2.0(W/(m^2.K)),TSod_metal_u3.0(K),fluxSalt_u3.0(W/(m^2.K)),TSod_metal_u4.0(K),fluxSalt_u4.0(W/(m^2.K))
5.631499999999999773e+02,8.390843752786485084e+02,5.623836916378530441e+05,8.381498422599762534e+02,8.578029781314107822e+05,8.368548095072394517e+02,1.078162186445339117e+06,8.355536754853433195e+02,1.253498966755492846e+06
5.881499999999999773e+02,8.513185717111977056e+02,5.705657039308537496e+05,8.507832864055474147e+02,8.665193561888877302e+05,8.499723830498828647e+02,1.086269779296887573e+06,8.491488474113027678e+02,1.260664308376429835e+06
6.131499999999999773e+02,8.599394141767517112e+02,5.675948444104795344e+05,8.594842848620074847e+02,8.570955038849819684e+05,8.587077382190630033e+02,1.069805809992979048e+06,8.579111821660644637e+02,1.237249502050634241e+06
6.381499999999999773e+02,8.687374956591189630e+02,5.602833226591624552e+05,8.683466764837236269e+02,8.411216503264552448e+05,8.675644557131237207e+02,1.045227892256451421e+06,8.667522956605174613e+02,1.204545237988609588e+06
6.631499999999999773e+02,8.779878221388343036e+02,5.485791165394794662e+05,8.777069319873929771e+02,8.189730875005838461e+05,8.769840661532070953e+02,1.013697105764188571e+06,8.762198838051992880e+02,1.164641476613423787e+06
6.881499999999999773e+02,8.874771550225763121e+02,5.316637864825478755e+05,8.873172726309342124e+02,7.894962789445620729e+05,8.866275480189990503e+02,9.735364199116555974e+05,8.858782387122849968e+02,1.115234284167333040e+06
7.131499999999999773e+02,8.973292974949880545e+02,5.100977802832861198e+05,8.973322490414423100e+02,7.537738388805115828e+05,8.967367765323626827e+02,9.265935560804364504e+05,8.960609509718107120e+02,1.059015860237239394e+06
7.381499999999999773e+02,9.077192589963674436e+02,4.852041262264398974e+05,9.079235772056383666e+02,7.137777890703820158e+05,9.073922373954362683e+02,8.748331008275522618e+05,9.067465844435780582e+02,9.976204536264110357e+05
7.631499999999999773e+02,9.184227100811233413e+02,4.576589554704217007e+05,9.188822082028852947e+02,6.704780732692694291e+05,9.184481570040566112e+02,8.196331276642928133e+05,9.178932806820574797e+02,9.330886288468153216e+05
7.881499999999999773e+02,9.299237263897466619e+02,4.302589889593629050e+05,9.306336790889083659e+02,6.276353371515499894e+05,9.303410332707230737e+02,7.655117518158333842e+05,9.298544653231972461e+02,8.699390785992178135e+05
8.131499999999999773e+02,9.416982038573147520e+02,4.029332610763105331e+05,9.427111058201055585e+02,5.852044558228515089e+05,9.425539692830424201e+02,7.119583603970358381e+05,9.421535579498655579e+02,8.076318824508963153e+05
8.381499999999999773e+02,9.538066471342790464e+02,3.770469429488275782e+05,9.551411426599680681e+02,5.449199216651434544e+05,9.551270521971175640e+02,6.609986243152258685e+05,9.548174176753292386e+02,7.482374957361568231e+05
