# T_int(K),TSod_metal_u1.0(K),fluxSalt_u1.0(W/(m^2.K)),TSod_metal_u2.0(K),fluxSalt_u2.0(W/(m^2.K)),TSod_metal_u3.0(K),fluxSalt_u3.0(W/(m^2.K)),TSod_metal_u4.0(K),fluxSalt_u4.0(W/(m^2.K))
5.631499999999999773e+02,8.384821632227395867e+02,5.150917404732472496e+05,8.380851780876902239e+02,7.946974021907480201e+05,8.370395604397500620e+02,1.006394107524188352e+06,8.358933192116255668e+02,1.176840568513949635e+06
5.881499999999999773e+02,8.509717449988540920e+02,5.238994603105476708e+05,8.507602208517279223e+02,8.042455294930802193e+05,8.501011367548194357e+02,1.015582556894631824e+06,8.493718807566625628e+02,1.185298773698649136e+06
6.131499999999999773e+02,8.596198889824938760e+02,5.220233591178201023e+05,8.594725319696586894e+02,7.968450122560113668e+05,8.588401008505381924e+02,1.001974817572472384e+06,8.581319466796724100e+02,1.165433788940348197e+06
6.381499999999999773e+02,8.684168140893729060e+02,5.160550620823624195e+05,8.683402819887689930e+02,7.832478037963615498e+05,8.677043671447232782e+02,9.806401096761398949e+05,8.669805789538543195e+02,1.136664756627736147e+06
6.631499999999999773e+02,8.776795026959057395e+02,5.060075453666269896e+05,8.777006349959575573e+02,7.637485878016145434e+05,8.771173088714322148e+02,9.525142924165129662e+05,8.764361762633925537e+02,1.100728954157808097e+06
6.881499999999999773e+02,8.871529693719622855e+02,4.910087348758365843e+05,8.873039777139123316e+02,7.372231520502845524e+05,8.867563639811604617e+02,9.160391464667088585e+05,8.860903320731798658e+02,1.055528021344846813e+06
7.131499999999999773e+02,8.970002887590949285e+02,4.716551679845595500e+05,8.973061288736184906e+02,7.046650119609743124e+05,8.968476431979697736e+02,8.728578649498831946e+05,8.962511006523216111e+02,1.003452853656997439e+06
7.381499999999999773e+02,9.073473819470226545e+02,4.490526517061477061e+05,9.078755025994173593e+02,6.679137287356600864e+05,9.074888083140733670e+02,8.249181231272713048e+05,9.069258629888262249e+02,9.462349501719948603e+05
7.631499999999999773e+02,9.180269674450847788e+02,4.239844596784622408e+05,9.188044438713993713e+02,6.279167145749558695e+05,9.185224981513803186e+02,7.735182122002475662e+05,9.180426281460420341e+02,8.857133308202439221e+05
7.881499999999999773e+02,9.294746265978481006e+02,3.989375875565033639e+05,9.305273117491009316e+02,5.882733422966971993e+05,9.303844325782172291e+02,7.229808513138402486e+05,9.299821288483231001e+02,8.264088529549122322e+05
8.131499999999999773e+02,9.411965796558664579e+02,3.739481370364589966e+05,9.425684211554022340e+02,5.489601481275298866e+05,9.425664707983526114e+02,6.729431855232209200e+05,9.422527577416707345e+02,7.678204372170733986e+05
8.381499999999999773e+02,9.532495363497623657e+02,3.502905534145768033e+05,9.549602416347146345e+02,5.116697042506647995e+05,9.551070784475182336e+02,6.253748724355063168e+05,9.548866716263225953e+02,7.120238571623315802e+05
