# T_int(K),TSod_metal_u1.0(K),fluxSalt_u1.0(W/(m^2.K)),TSod_metal_u2.0(K),fluxSalt_u2.0(W/(m^2.K)),TSod_metal_u3.0(K),fluxSalt_u3.0(W/(m^2.K)),TSod_metal_u4.0(K),fluxSalt_u4.0(W/(m^2.K))
5.631499999999999773e+02,8.396102408794727125e+02,5.852124148613195866e+05,8.383307450708038004e+02,8.861240398488534847e+05,8.368964048747928928e+02,1.109188559102748986e+06,8.355178405176320666e+02,1.285812659929869929e+06
5.881499999999999773e+02,8.516143806148132853e+02,5.926757202688353136e+05,8.508791002402629147e+02,8.940669057185818674e+05,8.499869013277638032e+02,1.116434946938953362e+06,8.491182729620470582e+02,1.292037728218825534e+06
6.131499999999999773e+02,8.602028446415930603e+02,5.890018601748088840e+05,8.595644320909666476e+02,8.835522263290090486e+05,8.587135339758251575e+02,1.098547890303993830e+06,8.578762336950188683e+02,1.266934107308196370e+06
6.381499999999999773e+02,8.689910644814166290e+02,5.809202196048196638e+05,8.684196251413208074e+02,8.663827908610801678e+05,8.675644794404749973e+02,1.072435271984888474e+06,8.667129417734782919e+02,1.232436771972212708e+06
6.631499999999999773e+02,8.782197485524278591e+02,5.683123300875504501e+05,8.777711205580895921e+02,8.429381597082598601e+05,8.769808850019909414e+02,1.039324138855128316e+06,8.761808364667075466e+02,1.190751591585675254e+06
6.881499999999999773e+02,8.877073145067716951e+02,5.504240376079361886e+05,8.873801797166621554e+02,8.120862458413364366e+05,8.866237342463858795e+02,9.975196352531466400e+05,8.858393951918992570e+02,1.139522176874868339e+06
7.131499999999999773e+02,8.975485011350144759e+02,5.277643453693629708e+05,8.973932849729957297e+02,7.749171476474098163e+05,8.967350689382321889e+02,9.489242021491423948e+05,8.960266383399277856e+02,1.081531704907319974e+06
7.381499999999999773e+02,9.079513168886999210e+02,5.017875034434648114e+05,9.079910903059527527e+02,7.334861798408171162e+05,9.073948675765286680e+02,8.955344850851887604e+05,9.067157870218554763e+02,1.018400443337509991e+06
7.631499999999999773e+02,9.186697303676467072e+02,4.731206301742634387e+05,9.189585783877478207e+02,6.887440278616044670e+05,9.184575574040787842e+02,8.387325831801965833e+05,9.178700761837259279e+02,9.522053192281986121e+05
7.881499999999999773e+02,9.301709552785217738e+02,4.445880944543109508e+05,9.307153290470249658e+02,6.445005762156364508e+05,9.303578905757676694e+02,7.830967913727450650e+05,9.298381632351083681e+02,8.874862236318925861e+05
8.131499999999999773e+02,9.419592496967395618e+02,4.161805926038963371e+05,9.428029634328429438e+02,6.007157660235281801e+05,9.425798282263648389e+02,7.280694746054578573e+05,9.421456963336537456e+02,8.236588486347659491e+05
8.381499999999999773e+02,9.540820551083145347e+02,3.892563010689591756e+05,9.552436085516093272e+02,5.591251871564162429e+05,9.551622966290918839e+02,6.756824907655706629e+05,9.548183986905326037e+02,7.627884513126506936e+05
