# T_int(K),TSod_metal_u1.0(K),fluxSalt_u1.0(W/(m^2.K)),TSod_metal_u2.0(K),fluxSalt_u2.0(W/(m^2.K)),TSod_metal_u3.0(K),fluxSalt_u3.0(W/(m^2.K)),TSod_metal_u4.0(K),fluxSalt_u4.0(W/(m^2.K))
5.631499999999999773e+02,8.386287614266259425e+02,5.308165382062838180e+05,8.380724319669385523e+02,8.162425603647837415e+05,8.369474062010023090e+02,1.031228812139677000e+06,8.357493432735051329e+02,1.203611273696783697e+06
5.881499999999999773e+02,8.510580906484510706e+02,5.395157987645422108e+05,8.507486241941948037e+02,8.256061223809373332e+05,8.500402995993513287e+02,1.040144079037115793e+06,8.492789647796715826e+02,1.211721721740354085e+06
6.131499999999999773e+02,8.597018763881692394e+02,5.373211138441248331e+05,8.594596253014668719e+02,8.175664016896013636e+05,8.587796956602035152e+02,1.025604333950893139e+06,8.580410297900937167e+02,1.190677014985080808e+06
6.381499999999999773e+02,8.685019352219007942e+02,5.309390719413101906e+05,8.683267811571881793e+02,8.031961223309646593e+05,8.676419539639554159e+02,1.003189457206961815e+06,8.668872750625397430e+02,1.160578282752765575e+06
6.631499999999999773e+02,8.777643847284803087e+02,5.203683800479547936e+05,8.776892178536214715e+02,7.828237292402823223e+05,8.770586495592955316e+02,9.739190397632911336e+05,8.763481628461067885e+02,1.123292044276706409e+06
6.881499999999999773e+02,8.872456664002480693e+02,5.047462230784429121e+05,8.872961301957243450e+02,7.553073674399333540e+05,8.866998873899582350e+02,9.361865762359291548e+05,8.860041470141243281e+02,1.076640591227765428e+06
7.131499999999999773e+02,8.970979264903379544e+02,4.846645131949528004e+05,8.973045566240454036e+02,7.216775449615647085e+05,8.967987748696665449e+02,8.917129379118492361e+05,8.961737390070105675e+02,1.023127906768942950e+06
7.381499999999999773e+02,9.074615869140189943e+02,4.612958725816388032e+05,9.078824549234700498e+02,6.838149575021708151e+05,9.074454490992646924e+02,8.424474099711060990e+05,9.068526193211895361e+02,9.644467842076838715e+05
7.631499999999999773e+02,9.181511721407874802e+02,4.353942895061226445e+05,9.188228583460173695e+02,6.426812241221516160e+05,9.184876731001313601e+02,7.897228473282124614e+05,9.179811368820977577e+02,9.025173880054672481e+05
7.881499999999999773e+02,9.296205287139323445e+02,4.095565446290224791e+05,9.305574566911390093e+02,6.019363560045436025e+05,9.303618612749800150e+02,7.379356220718112309e+05,9.299288768862206780e+02,8.418567560692749685e+05
8.131499999999999773e+02,9.413631774506724241e+02,3.837791607391641010e+05,9.426126939205856843e+02,5.615473654129924253e+05,9.425558241985609129e+02,6.866692752306029433e+05,9.422104477138361744e+02,7.819567560954218497e+05
8.381499999999999773e+02,9.534380624491149092e+02,3.593716616937999497e+05,9.550194151535240508e+02,5.232254242958225659e+05,9.551089837654823214e+02,6.379173681832100265e+05,9.548558782235280660e+02,7.248927897969710175e+05
