0,1,2,3,4
563.15,471100.881529198,656501.813766489,775549.726984624,860733.045348375
591.331818181818,473261.989790674,653772.489328612,768273.175561814,849572.45950693
619.513636363636,465109.242742511,636526.233451845,743564.794922853,818782.299521724
647.695454545455,453097.530356874,614578.831697022,713926.059012691,783063.472658073
675.877272727273,436778.339598873,587637.409412439,679319.802708244,742622.653681556
704.059090909091,416778.832126351,556750.495356461,640935.730979507,698675.665741507
732.240909090909,393355.757709517,522300.989300618,599215.406586978,651689.688832142
760.422727272727,368368.876050472,486404.075449629,556429.195609011,604040.832589183
788.604545454546,343204.361712166,450939.520053555,514519.329251825,557604.237924534
816.786363636364,318484.781637549,416225.766581652,473608.54691955,512366.812120728
844.968181818182,295279.272133281,383469.790769261,434883.719030539,469458.520050223
873.15,274875.741656551,353956.605503248,399624.667497345,430124.942858227
