x,y,z,foc,aim x,aim y,aim z
m,m,m,m,m,m,m
-15.5896069300001,-80.13377926,5,136.111943904068,-1.685262,-8.662593,120
-30.9465773296608,-75.5431517366176,5,136.11194366912,-3.345376,-8.166339,120
-45.110577935769,-68.0403863967807,5,136.111944212113,-4.876527,-7.355277,120
-57.5355960277919,-57.9147098106263,5,136.111944069604,-6.219692,-6.260675,120
-67.7426554944061,-45.5564600170878,5,136.111944000382,-7.323092,-4.924728,120
-75.3382810412374,-31.442039254378,5,136.111943789726,-8.144192,-3.398936,120
-80.0296663994703,-16.1155489733303,5,136.111944045314,-8.651338,-1.742117,120
-81.6359618110632,-0.167815091515382,5,136.111944108527,-8.824981,-0.018141,120
-80.095245665586,15.7863879494879,5,136.11194417941,-8.658427,1.706534,120
-75.4669115367581,31.1320363263542,5,136.111943908041,-8.158097,3.365424,120
-67.9293786000296,45.2775655897725,5,136.111944049737,-7.343277,4.894579,120
-57.7732136930716,57.6776750770781,5,136.111944075794,-6.245379,6.235051,120
-45.3899301591296,67.8543488869479,5,136.111944061841,-4.906726,7.335166,120
-31.256895270313,75.4152830716891,5,136.111943736766,-3.378922,8.152516,120
-15.9189280395287,80.0690086912197,5,136.111944022571,-1.720862,8.655591,120
0.0327031869407,81.6361277451587,5,136.111944075188,0.003535,8.824999,120
15.9830737274946,80.0562288453796,5,136.111943670544,1.727797,8.65421,120
31.3173074991286,75.3902160344917,5,136.11194397712,3.385452,8.149806,120
45.4442800779054,67.8179609758595,5,136.111943892151,4.912601,7.331233,120
57.819406148903,57.6313690216579,5,136.111943591624,6.250373,6.230046,120
67.9656329047355,45.2231264573895,5,136.111944128475,7.347196,4.888694,120
75.4918301112156,31.0715627090378,5,136.111943718214,8.160791,3.358887,120
80.107867915468,15.7222110646131,5,136.111943844865,8.659792,1.699597,120
81.6358011571052,-0.233221268093928,5,136.111943911525,8.824964,-0.025212,120
80.0167290347746,-16.1796630773874,5,136.111943739871,8.64994,-1.749048,120
